field,type,label
form1[0].Bodypage7[0].P7_N6B5_CB1[0],checkbox,"6.B.5. Did this job require you to interact with coworkers, the general public, or anyone else? Yes"
form1[0].Bodypage7[0].P7_N6B5_CB2[0],checkbox,No
form1[0].Bodypage7[0].P7_N6B5_FLD[0],text,"If YES, describe who you interacted with, the purpose of the interaction, how you interacted, and how much time you spent doing it per workday or workweek. Examples include answering customer questions on the telephone for 5 hours per day or showing clients sale properties in person for 4 hours per day."
form1[0].BodyPage8[0].P8_N6CSitting_FLD[0],text,Row 2: Sitting How much of your workday? Example 6 hours
form1[0].BodyPage8[0].P8_N6CStooping_FLD[0],text,"Row 3: Stooping (i.e., bending down & forward at waist) How much of your workday? Example 15 minutes"
form1[0].BodyPage8[0].P8_N6CKneeling_FLD[0],text,"Row 4: Kneeling (i.e., bending legs to rest on knees) How much of your workday? Example 15 minutes"
form1[0].BodyPage8[0].P8_N6CCrouching_FLD[0],text,"Row 5: Crouching (i.e., bending legs & back down & forward) How much of your workday? Example None"
form1[0].BodyPage8[0].P8_N6CCrawling_FLD[0],text,"Row 6: Crawling (i.e., moving on hands and knees) How much of your workday? Example None"
form1[0].BodyPage8[0].P8_N6CTouch_CB1[0],checkbox,"Row 7 Using fingers to touch, pick, or pinch (e.g., using a mouse, keyboard, turning pages, or buttoning a shirt): One Hand"
form1[0].BodyPage8[0].P8_N6CTouch_CB2[0],checkbox,Both Hands
form1[0].BodyPage8[0].P8_N6CTouch_FLD[0],text,How much of your workday? (Hours/Minutes) Example: 2 hours (both hands)
form1[0].BodyPage8[0].P8_N6CSieze_CB1[0],checkbox,"Row 8 Using hands to seize, hold, grasp, or turn (e.g., holding a large envelope, a small box, a hammer, or water bottle): One Hand"
form1[0].BodyPage8[0].P8_N6CSieze_CB2[0],checkbox,Both Hands
form1[0].BodyPage8[0].P8_N6CSieze_FLD[0],text,How much of your workday? (Hours/Minutes) Example: 1 hour (both hands)
form1[0].BodyPage8[0].P8_N6CReachBelow_CB1[0],checkbox,Row 9 Reaching at or below the shoulder: One Arm
form1[0].BodyPage8[0].P8_N6CReachBelow_CB2[0],checkbox,Both Arms
form1[0].BodyPage8[0].P8_N6CReachBelow_FLD[0],text,How much of your workday? (Hours/Minutes) Example: 1 hour (both arms)
form1[0].BodyPage8[0].P8_N6CReachOver_CB1[0],checkbox,Row 10 Reaching overhead (above the shoulder): One Arm
form1[0].BodyPage8[0].P8_N6CReachOver_CB2[0],checkbox,Both Arms
form1[0].BodyPage8[0].P8_N6CReachOver_FLD[0],text,How much of your workday? (Hours/Minutes) Example: None
form1[0].BodyPage8[0].P8_N6CClimbStairs_FLD[0],text,Row 11: Climbing stairs or ramps How much of your workday? Example None
form1[0].BodyPage8[0].P8_N6CClimbLadder_FLD[0],text,"Row 11: Climbing ladders, ropes, or scaffolds How much of your workday? Example None If you need more space, use Section 11"
form1[0].BodyPage8[0].P8_TellUsLifinting_FLD[0],text,"Tell us about lifting and carrying in this job. Explain what you lifted, how far you carried it, and how often you did it in a typical workday."
form1[0].BodyPage8[0].P8_HeaviestWeight_CB1[0],checkbox,Select the heaviest weight lifted: Less than 1 pound
form1[0].BodyPage8[0].P8_HeaviestWeight_CB2[0],checkbox,Less than 10 pounds
form1[0].BodyPage8[0].P8_HeaviestWeight_CB3[0],checkbox,10 pounds
form1[0].BodyPage8[0].P8_HeaviestWeight_CB4[0],checkbox,20 pounds
form1[0].BodyPage8[0].P8_HeaviestWeight_CB5[0],checkbox,50 pounds
form1[0].BodyPage8[0].P8_HeaviestWeight_CB6[0],checkbox,100 pounds or more
form1[0].BodyPage8[0].P8_HeaviestWeight_CB7[0],checkbox,Other
form1[0].BodyPage8[0].P8_HeaviestWeightCB7_FLD[0],text,If other is checked enter weight
form1[0].BodyPage8[0].P8_WtFreq_CB1[0],checkbox,"Select the weight frequently lifted (i.e., one third to two thirds of the workday): Less than 1 pound"
form1[0].BodyPage8[0].P8_WtFreq_CB2[0],checkbox,Less than 10 pounds
form1[0].BodyPage8[0].P8_WtFreq_CB3[0],checkbox,10 pounds
form1[0].BodyPage8[0].P8_WtFreq_CB4[0],checkbox,25 pounds
form1[0].BodyPage8[0].P8_WtFreq_CB5[0],checkbox,50 pounds or more
form1[0].BodyPage8[0].P8_WtFreq_CB6[0],checkbox,Other
form1[0].BodyPage8[0].P8_WtFreqCB6_FLD[0],text,If other is checked enter weight
form1[0].BodyPage8[0].P8_DidYourJob_CB1[0],checkbox,Did this job expose you to any of the following? Check all that apply. Outdoors
form1[0].BodyPage8[0].P8_DidYourJob_CB2[0],checkbox,Extreme heat (non-weather related)
form1[0].BodyPage8[0].P8_DidYourJob_CB3[0],checkbox,Extreme cold (non-weather related)
form1[0].BodyPage8[0].P8_DidYourJob_CB4[0],checkbox,Wetness
form1[0].BodyPage8[0].P8_DidYourJob_CB5[0],checkbox,Humidity
form1[0].BodyPage8[0].P8_DidYourJob_CB6[0],checkbox,Hazardous substances
form1[0].BodyPage8[0].P8_DidYourJob_CB7[0],checkbox,Moving mechanical parts
form1[0].BodyPage8[0].P8_DidYourJob_CB8[0],checkbox,"High, exposed places"
form1[0].BodyPage8[0].P8_DidYourJob_CB9[0],checkbox,Heavy vibrations
form1[0].BodyPage8[0].P8_DidYourJob_CB10[0],checkbox,Loud noise
form1[0].BodyPage8[0].P8_DidYourJob_CB11[0],checkbox,Other
form1[0].BodyPage8[0].P8_JobExposure_FLD[0],text,"If one or more boxes are checked, tell us about the exposure(s) and how often you were exposed."
form1[0].BodyPage9[0].P9_N7_CB1[0],checkbox,SECTION 7 - MEDICINES 7. Are you currently taking any prescription or non-prescription medicine(s)? NO (Go to Section 8)
form1[0].BodyPage9[0].P9_N7_CB2[0],checkbox,YES (Complete the information below. You may need to look at your medicine containers.)
form1[0].BodyPage9[0].P9_N7R1MedName_FLD[0],text,"This is a table of 3 columns and 11 rows. Column Headers are Name of Medicine, IF PRESCRIBED, GIVE DOCTOR NAME (IF KNOWN), and REASON FOR MEDICINE (IF KNOWN). There are no row headers. Row 1 Name of Medicine"
form1[0].BodyPage9[0].P9_N7R1DocName_FLD[0],text,"IF PRESCRIBED, GIVE DOCTOR NAME (IF KNOWN)"
form1[0].BodyPage9[0].P9_N7R1Reason_FLD[0],text,REASON FOR MEDICINE (IF KNOWN)
form1[0].BodyPage9[0].P9_N7R2MedName_FLD[0],text,Row 2 Name of Medicine
form1[0].BodyPage9[0].P9_N7R2DocName_FLD[0],text,"IF PRESCRIBED, GIVE DOCTOR NAME (IF KNOWN)"
form1[0].BodyPage9[0].P9_N7R2Reason_FLD[0],text,REASON FOR MEDICINE (IF KNOWN)
form1[0].BodyPage9[0].P9_N7R3MedName_FLD[0],text,Row 3 Name of Medicine
form1[0].BodyPage9[0].P9_N7R3DocName_FLD[0],text,"IF PRESCRIBED, GIVE DOCTOR NAME (IF KNOWN)"
form1[0].BodyPage9[0].P9_N7R3Reason_FLD[0],text,REASON FOR MEDICINE (IF KNOWN)
form1[0].BodyPage9[0].P9_N7R4MedName_FLD[0],text,Row 4 Name of Medicine
form1[0].BodyPage9[0].P9_N7R4DocName_FLD[0],text,"IF PRESCRIBED, GIVE DOCTOR NAME (IF KNOWN)"
form1[0].BodyPage9[0].P9_N7R4Reason_FLD[0],text,REASON FOR MEDICINE (IF KNOWN)
form1[0].BodyPage9[0].P9_N7R5MedName_FLD[0],text,Row 5 Name of Medicine
